ID,Title,Related Story,Related Requirement,Impact,Status,Created Date,Description
TD-001,Dependency audit is non-blocking in CI,MVP-001,NFR-007,Medium,Resolved,2026-09-16,"pnpm audit --audit-level=high ran with continue-on-error: true because there was no real dependency tree yet to triage. Resolved in MVP-002: real findings appeared (see TD-002), were fixed, and the step was made blocking."
TD-002,Vulnerable transitive deps of the prisma CLI pinned via pnpm override,MVP-002,NFR-007,Low,Resolved,2026-09-17,"pnpm audit found HIGH-severity deepmerge-ts and mysql2 advisories, both transitive build-time-only deps of prisma@7.10.0 (latest stable 7.x). Pinned patched versions via pnpm-workspace.yaml overrides; verified prisma generate/migrate diff still work."
TD-003,Row Level Security disabled on ppuniverse-dev Supabase tables,MVP-002,NFR-002,Medium,Resolved,2026-09-17,"Supabase security advisor flagged RLS disabled on users/accounts/sessions/verification_tokens/file_scans. Resolved per docs/final-decisions.md: RLS approved and required, implemented as enabled-with-zero-policies (portable standard SQL, app's own table-owner connection unaffected). Verified against ppuniverse-dev: advisor ERROR cleared to an expected INFO note; owner-role queries still work."
TD-004,File scan pipeline runs synchronously in the request not via job queue,MVP-006,FR-007,Medium,Open,2026-09-17,"completeFileUpload() runs the full scan pipeline (policy re-check, magic bytes, malware scan, zone move) inline in the POST /api/files/uploads/complete request instead of a durable queue (TRD's architecture default). No story yet owns job-queue infrastructure. Risk: large-file scans block the request and a mid-scan crash leaves a FileScan row stuck in SCANNING with no retry."
TD-005,FR-002 filter axes deferred pending fields owned by later stories,MVP-004,FR-002,Medium,Open,2026-09-21,"MVP-004 delivered keyword search/category filter/sort/pagination. FR-002's license, compatibility, free/paid, accessibility-status and update-recency filters (and 'AI') were not built because their fields did not exist or have no owning story; FR-002 traceability was overstated as Implemented and is corrected to Partially Implemented. Needs a product-owner backlog decision for the follow-up."
TD-006,Compatibility evidence write-time rules exist but no write path enforces them yet,MVP-005,FR-003,Medium,Open,2026-09-21,"validateCompatibilityEntry (Tested requires evidence summary + verified date, wave needs area, year/wave/length rules) and DB CHECK constraints exist, but MVP-005 has no creator/moderator write surface so nothing calls the validator yet. No automated screening of notes/summaries for private data (tenant IDs, credentials, test-environment details) exists; who may assign statuses was decided 2026-09-21 (creators Creator Declared, moderators Marketplace Reviewed, Tested reserved) but the role rules are not enforced anywhere yet and the built vocabulary predates the decision (TD-008). Must be enforced by MVP-012/013 before any evidence can be written through the product."
TD-007,FR-003 product-page items beyond license/version/support/compatibility have no delivering story,MVP-005,FR-003,Medium,Open,2026-09-21,"FR-003 also lists creator, screenshots, demo, price, prerequisites, setup, accessibility statement, changelog, version history and related assets; MVP-005's acceptance criteria cover only license/version/support/compatibility so FR-003 is recorded Partially Implemented. Also: no Playwright E2E journey for the product detail page (E2E tooling is not configured repo-wide); coverage is unit + DB-gated integration + manual browser and axe-core verification. Dispositions recorded 2026-09-21: creator to MVP-011, price to MVP-007, the rest proposed as PROP-001 to PROP-005 in planning/proposed-stories.md (not approved). Stays Open until those are approved and scheduled."
TD-008,MVP-005 evidence vocabulary predates the 2026-09-21 Tested / Marketplace Reviewed decision,MVP-005,FR-003,Medium,Open,2026-09-21,"The product owner decided creators assign Creator Declared, moderators assign Marketplace Reviewed, and Tested is reserved. Merged MVP-005 still implements Tested / Creator Declared / Not Verified: the DB enum has no MARKETPLACE_REVIEWED, the validator accepts TESTED, and the on-page legend defines Tested. No user-visible harm today (no product or compatibility rows exist and nothing can write them). Decisions recorded 2026-09-21 (Not Verified is legacy/reserved and not assignable; a reviewed-at timestamp is approved; open question 28). A separate small corrective change is required before MVP-012 permits compatibility-evidence writes; it is not part of MVP-021. States, transitions, migration approach and tests are defined in TD-008.md."
TD-009,No environment-level noindex switch for staging and preview deployments,MVP-021,FR-017,Medium,Open,2026-09-21,"Indexable pages emit index/follow, a canonical and a sitemap whenever NEXT_PUBLIC_SITE_URL is valid, with nothing distinguishing production from a public staging or preview deployment. Deferred because the hosting model is undecided (open question 5). Needs an explicit environment setting that forces noindex, an empty sitemap and Disallow: / for non-production."
TD-010,Sitemap is a single file capped at 50000 URLs (no sitemap index),MVP-021,FR-017,Low,Open,2026-09-21,"sitemap.xml is one file bounded at the sitemaps.org limit; beyond it the tail is dropped and seo.sitemap_truncated is logged. A sitemap index (generateSitemaps) and an accurate lastmod were not built because the catalog has no inventory. No risk at MVP scale."
TD-011,"main is unprotected and no reviewer or approval rules exist",MVP-023,n/a,Medium,Open,2026-09-21,"The 2026-09-21 MVP-023 decision protects develop only (pull request required, 0 approvals, two required checks, force-push and deletion blocked, administrators not enforced). main stays unprotected and no reviewer or approval rules exist; both remain part of open question 17. Delivery discipline is procedural, not enforced by GitHub, for main and for review. Resolve when the product owner decides the rest of open question 17."
TD-012,"A pnpm hook removes Next.js's optional @playwright/test peer declaration",MVP-023,n/a,Low,Open,2026-09-21,"Without the root .pnpmfile.cjs, pnpm resolves Next.js's optional @playwright/test peer from the workspace and links Playwright into the web app's production dependency tree (Q41: dev-only, not shipped). An overrides entry with - did not remove a peer link. Revisit on each Next.js upgrade."
TD-013,"router.refresh() can leave document metadata (<title>) briefly absent; only /account/sessions has a mitigation",MVP-023,NFR-001,Medium,Open,2026-09-21,"BUG-013's fix mitigates this on /account/sessions only. The underlying gap between router.refresh() and the framework re-applying document metadata is not understood or fixed; SessionRevokeButton is the only current router.refresh() call site, but a future one is not covered. See planning/tech-debt/TD-013.md."
